SHOPP ID,Supplementary Activity
19062,Asphalt Pavement Major Rehab
19062,Replace or Rehabilitate Culvert
19062,Miscellaneous Drainage Work
19062,Miscellaneous Drainage Work
19062,Widen Shoulders 
19062,Class II Bike Lane 
19062,Do Not Include
19062,Do Not Include
19074,Asphalt Pavement Minor Rehab
19074,Repair/upgrade or new curb ramp
19074,Do Not Include
19074,Curb Extensions/Bulb-Outs 
19074,Lane Reduction  (Road Diet)
19074,Do Not Include
19074,Class II Buffered Bike Lanes 
19074,Bicycle and Pedestrian Signage 
19074,Do Not Include
19075,Asphalt Pavement Minor Rehab
19075,Guard Rail 
19075,Repair/upgrade or new curb ramp
19075,Do Not Include
19075,Worker Safety - Safe Access
19075,Worker Safety - Miscellaneous Paving/Treatment
19075,Worker Safety - Vegetation Control
19075,Worker Safety - Miscellaneous Facilities and Equipment 
19075,Do Not Include
19075,Total Maximum Daily Load Mitigation  
19075,Do Not Include
19075,Do Not Include
19081,Asphalt Pavement Minor Rehab 
19081,Replace or Rehabilitate Culvert
19081,Replace or Rehabilitate Culvert
19081,Guard Rail 
19081,Sign Panel Replacement
19081,Repair/upgrade or new curb ramp
19081,Do Not Include
19081,Do Not Include
19081,Do Not Include
19092,Bridge Rail 
19092,Bridge Rehabilitation 
19092,Bridge Rehabilitation 
19092,Do Not Include
19092,Do Not Include
19092,Guard Rail 
19092,Do Not Include
19092,Do Not Include
19092,Do Not Include
19097,Replace or Rehabilitate Culvert
19097,Replace or Rehabilitate Culvert
19097,Replace or Rehabilitate Culvert
19097,Replace or Rehabilitate Culvert
19097,Replace or Rehabilitate Culvert
19097,Replace or Rehabilitate Culvert
19097,Rockfall Mitigation 
19097,Changeable Message Sign 
19097,Do Not Include
19097,Do Not Include
19097,Do Not Include
19098,Closed-Circuit Television 
19098,Fiber Optics (Communications)
19098,Vehicle Detection 
19098,Ramp Meter 
19098,Worker Safety - Safe Access
19098,Do Not Include
19098,Do Not Include
19098,Do Not Include
19099,Repair Existing Sidewalk 
19099,Repair/upgrade or new curb ramp
19099,Install Accessible Pedestrian Signal 
19099,Do Not Include
19099,Do Not Include
19099,Use of Locally Available Building Materials
19099,Do Not Include
19100,Repair Existing Sidewalk 
19100,Repair/upgrade or new curb ramp
19100,Install Accessible Pedestrian Signal 
19100,Do Not Include
19100,Do Not Include
19100,Do Not Include
19168,Do Not Include
19168,Do Not Include
19168,Do Not Include
19168,Install Electric Vehicle Charging Station 
19168,Install Electric Vehicle Charging Station 
19168,Install Electric Vehicle Charging Station 
19168,Install Electric Vehicle Charging Station 
19170,Flashing Beacons 
19170,Guard Rail 
19170,Safety Treatment to Reduce Collisions
19170,Do Not Include
19170,Do Not Include
19170,Do Not Include
19171,Weigh-in-Motion System 
19171,Do Not Include
19171,Do Not Include
19171,Do Not Include
19173,Maintenance Facility 
19173,Maintenance Facility 
19173,Restripe Bikeways 
19173,New/Modify Crosswalk
19173,New Sidewalk 
19173,Repair/upgrade or new curb ramp
19173,Relocate Pedestrian Push Button Posts 
19173,Modify Driveway 
19173,Upgrade/New detectable warning surface 
19173,Do Not Include
19173,Do Not Include
19173,Do Not Include
19175,Water & Wastewater Treatment  at Safety Roadside Rest Area 
19175,Do Not Include
19175,Do Not Include
19175,Do Not Include
19176,Water & Wastewater Treatment  at Safety Roadside Rest Area 
19176,Safety Roadside Rest Area 
19176,Do Not Include
19176,Do Not Include
19176,Do Not Include
19179,Do Not Include
19179,Do Not Include
19179,Permanent Restoration 
19179,Do Not Include
19392,Asphalt Pavement Minor Rehab 
19392,Crash Cushions 
19392,Safety Treatment to Reduce Collisions
19392,Rehabilitate or Install New Lighting
19392,Sign Panel Replacement
19392,Miscellaneous Safety Work
19392,Vehicle Detection 
19392,Ramp Meter 
19392,Repair/upgrade or new curb ramp
19392,Upgrade/New Detectable Warning Surface 
19392,Traffic Signals 
19392,Do Not Include
19392,Worker Safety - Vegetation Control
19392,Enhanced Crosswalk Visibility 
19392,Do Not Include
19392,Total Maximum Daily Load Mitigation  
19392,Trash Reduction  
19683,Bridge Rail 
19683,Bridge Rehabilitation 
19683,Bridge Rehabilitation 
19683,Do Not Include
19683,Do Not Include
19683,Do Not Include
19683,Do Not Include
19683,Do Not Include
19684,Concrete Pavement Major Rehab
19684,Concrete Pavement Minor Rehab 
19684,Median Barrier 
19684,Guard Rail 
19684,Rehabilitate or Install New Lighting
19684,Repair/upgrade or new curb ramp
19684,Do Not Include
19684,Worker Safety - Miscellaneous Paving/Treatment
19684,Do Not Include
19684,Do Not Include
19684,Install LED Lighting  
19684,Use of Locally Available Building Materials
19684,Do Not Include
19684,Do Not Include
19685,Concrete Pavement Major Rehab
19685,Concrete Pavement Minor Rehab 
19685,Replace or Rehabilitate Culvert
19685,Replace or Rehabilitate Culvert
19685,Rehabilitate or Install New Lighting
19685,Ramp Meter 
19685,Repair/upgrade or new curb ramp
19685,Traffic Signals 
19685,Do Not Include
19685,Worker Safety - Miscellaneous Paving/Treatment
19685,Worker Safety - Vegetation Control
19685,Do Not Include
19685,Pedestrian Access/Sidewalks
19685,Do Not Include
19685,Do Not Include
19685,Do Not Include
19686,Concrete Pavement Major Rehab
19686,Guard Rail 
19686,Overhead Sign Structures Rehabilitation 
19686,Repair/upgrade or new curb ramp
19686,Do Not Include
19686,Worker Safety - Safe Access
19686,Do Not Include
19686,Do Not Include
19686,Use of Locally Available Building Materials
19686,Do Not Include
19686,Do Not Include
19689,Concrete Pavement Minor Rehab
19689,Rehabilitate or Install New Lighting
19689,Sign Panel Replacement
19689,Repair/upgrade or new curb ramp
19689,Do Not Include
19689,Erosion Control
19689,Do Not Include
19689,Trash Reduction  
19689,Do Not Include
19689,Do Not Include
19693,Concrete Pavement Major Rehab
19693,Guard Rail 
19693,Rehabilitate or Install New Lighting
19693,Sign Panel Replacement
19693,Repair/Upgrade or New Curb Ramp
19693,Do Not Include
19693,Enhanced Crosswalk Visibility 
19693,Do Not Include
19693,Do Not Include
19697,Concrete Pavement Minor Rehab 
19697,Replace or Rehabilitate Culvert
19697,Replace or Rehabilitate Culvert
19697,Crash Cushions 
19697,Safety Treatment to Reduce Collisions
19697,Rehabilitate or Install New Lighting
19697,Miscellaneous Safety Work
19697,Weigh-in-Motion System 
19697,Repair/upgrade or new curb ramp
19697,New/Modify Crosswalk
19697,Upgrade/New Detectable Warning Surface 
19697,Do Not Include
19697,Class II Bike Lane 
19697,Overpass/Underpass - Pedestrian & Bike 
19697,Overpass/Underpass - Pedestrian & Bike 
19697,Overpass/Underpass - Pedestrian & Bike 
19697,Overpass/Underpass - Pedestrian & Bike 
19697,Overpass/Underpass - Pedestrian & Bike 
19697,Park & Ride Lots 
19697,Do Not Include
19697,Trash Reduction  
19729,Bridge Rail 
19729,Do Not Include
19729,Do Not Include
19729,Asphalt Pavement Major Rehab
19729,Replace or Rehabilitate Culvert
19729,Replace or Rehabilitate Culvert
19729,Guard Rail 
19729,Safety Treatment to Reduce Collisions
19729,Sign Panel Replacement
19729,Repair/upgrade or new curb ramp
19729,Do Not Include
19729,Worker Safety - Miscellaneous Paving/Treatment
19729,Do Not Include
19729,Do Not Include
19730,Guard Rail 
19730,Widen Shoulders 
19730,New Sidewalk 
19730,Repair/Upgrade or New Curb Ramp
19730,Repair/upgrade or new curb ramp
19730,Relocate Pedestrian Push Button Posts 
19730,New/Modify Crosswalk
19730,Curb Ramp Retired 
19730,Do Not Include
19730,Do Not Include
19730,Use of Locally Available Building Materials
19730,Do Not Include
19734,Bridge Rehabilitation 
19734,Bridge Rehabilitation 
19734,Do Not Include
19734,Do Not Include
19734,Do Not Include
19734,Do Not Include
19734,Do Not Include
19738,Signing 
19738,Safety Treatment to Reduce Collisions
19738,Do Not Include
19738,Do Not Include
19738,Do Not Include
19809,Bridge Rehabilitation 
19809,Bridge Rehabilitation 
19809,Do Not Include
19809,Do Not Include
19809,Do Not Include
19809,Do Not Include
19809,Do Not Include
19904,Asphalt Pavement Minor Rehab 
19904,Guard Rail 
19904,Sign Panel Replacement
19904,Repair/upgrade or new curb ramp
19904,Do Not Include
19904,Class II Bike Lane 
19904,Install LED Lighting  
19904,Do Not Include
19904,Bicycle and Pedestrian Signage 
19904,Do Not Include
19904,Do Not Include
19908,Asphalt Pavement Minor Rehab 
19908,Asphalt Pavement Minor Rehab 
19908,Miscellaneous Pavement Work
19908,Flashing Beacons 
19908,Guard Rail 
19908,Rumble Strips 
19908,Sign Panel Replacement
19908,Traffic Signals 
19908,New Sidewalk 
19908,Repair/Upgrade or New Curb Ramp
19908,Repair/upgrade or new curb ramp
19908,Do Not Include
19908,Class III Bike Routes 
19908,Do Not Include
20065,Concrete Pavement Minor Rehab 
20065,Rehabilitate or Install New Lighting
20065,Vehicle Detection 
20065,Ramp Meter 
20065,Repair/upgrade or new curb ramp
20065,Do Not Include
20065,Class II Bike Lane 
20065,Enhanced Crosswalk Visibility 
20065,Do Not Include
20065,Trash Reduction  
20066,Concrete Pavement Major Rehab
20066,Concrete Pavement Minor Rehab 
20066,Guard Rail 
20066,Sign Panel Replacement
20066,Vehicle Detection 
20066,Ramp Meter 
20066,Repair/upgrade or new curb ramp
20066,Do Not Include
20066,Class II Bike Lane 
20066,Conflict Zone Green Paint 
20066,Enhanced Crosswalk Visibility 
20066,Do Not Include
20066,Trash Reduction  
20071,Asphalt Pavement Minor Rehab 
20071,Replace or Rehabilitate Culvert
20071,Replace or Rehabilitate Culvert
20071,Crash Cushions 
20071,Guard Rail 
20071,Safety Treatment to Reduce Collisions
20071,Rehabilitate or Install New Lighting
20071,Sign Panel Replacement
20071,Miscellaneous Safety Work
20071,Do Not Include
20071,Do Not Include
20076,Asphalt Pavement Minor Rehab 
20076,Replace or Rehabilitate Culvert
20076,Replace or Rehabilitate Culvert
20076,Guard Rail 
20076,Sign Panel Replacement
20076,Class III Bike Routes 
20076,Do Not Include
20077,Asphalt Pavement Minor Rehab 
20077,Crash Cushions 
20077,Guard Rail 
20077,Safety Treatment to Reduce Collisions
20077,Sign Panel Replacement
20077,Miscellaneous Safety Work
20077,Repair/upgrade or new curb ramp
20077,Do Not Include
20077,Worker Safety - Miscellaneous Paving/Treatment
20077,Pedestrian Access/Sidewalks
20077,Do Not Include
20077,Shared-Lane Markings 
20077,Miscellaneous Complete Streets Work
20088,Commercial Vehicle Enforcement Station Improvements 
20088,Do Not Include
20088,Do Not Include
20094,Maintenance Facility 
20094,Bike Parking 
20094,LEED Certified Facility  
20094,Install Solar Shade Panel  
20094,Install Cool/Reflective or Green Roof  
20095,Maintenance Facility 
20095,Do Not Include
20095,Do Not Include
20097,Planting 
20097,Worker Safety - Vegetation Control
20097,Class II Bike Lane 
20097,Planting 
20097,Planting 
20097,Planting 
20097,Planting 
20098,Planting 
20098,Worker Safety - Vegetation Control
20098,Do Not Include
20098,Planting 
20172,Overhead Sign Structures Rehabilitation 
20172,Closed-Circuit Television 
20172,Do Not Include
20172,Do Not Include
20172,Closed-Circuit Television 
20172,Closed-Circuit Television 
20172,Closed-Circuit Television 
20172,Closed-Circuit Television 
20172,Closed-Circuit Television 
20172,Closed-Circuit Television 
20172,Closed-Circuit Television 
20172,Closed-Circuit Television 
20174,Closed-Circuit Television 
20174,Ramp Meter 
20174,Repair/upgrade or new curb ramp
20174,Do Not Include
20174,Worker Safety - Safe Access
20174,Do Not Include
20174,Do Not Include
20175,Guard Rail 
20175,Changeable Message Sign 
20175,Worker Safety - Safe Access
20175,Do Not Include
20175,Do Not Include
20175,Do Not Include
20176,Guard Rail 
20176,Changeable Message Sign 
20176,Worker Safety - Miscellaneous Paving/Treatment
20176,Do Not Include
20176,Do Not Include
20176,Do Not Include
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20176,Changeable Message Sign 
20184,Guard Rail 
20184,Changeable Message Sign 
20184,Worker Safety - Safe Access
20184,Do Not Include
20184,Do Not Include
20184,Do Not Include
20184,Changeable Message Sign 
20184,Changeable Message Sign 
20184,Changeable Message Sign 
20184,Changeable Message Sign 
20184,Changeable Message Sign 
20184,Changeable Message Sign 
20185,Guard Rail 
20185,Changeable Message Sign 
20185,Worker Safety - Safe Access
20185,Do Not Include
20185,Do Not Include
20185,Do Not Include
20185,Changeable Message Sign 
20185,Changeable Message Sign 
20185,Changeable Message Sign 
20185,Changeable Message Sign 
20185,Changeable Message Sign 
20185,Changeable Message Sign 
20185,Changeable Message Sign 
20855,Extend Merging/Acceleration Lane 
20855,Safety Improvements
20855,Do Not Include
20855,Do Not Include
20855,Do Not Include
20882,Bridge Widening 
20882,Do Not Include
20882,Do Not Include
20882,Guard Rail 
20882,Acceleration/Deceleration Lane 
20882,Daily Vehicle Hours of Delay (DVHD) Reduced 
20882,Auxiliary Lanes 
20882,Worker Safety - Miscellaneous Paving/Treatment
20882,Retaining Wall
20883,Repair/upgrade or new curb ramp
20883,Relocate Pedestrian Push Button Posts 
20883,New/Modify Crosswalk
20883,Upgrade/New Detectable Warning Surface 
20883,Do Not Include
20883,Do Not Include
20908,Median Barrier 
20908,Safety Improvements
20908,Do Not Include
20908,Do Not Include
20908,Do Not Include
21127,Concrete Pavement Major Rehab
21127,Concrete Pavement Minor Rehab 
21127,Replace or Rehabilitate Culvert
21127,Replace or Rehabilitate Culvert
21127,Rehabilitate or Install New Lighting
21127,Sign Panel Replacement
21127,Repair/upgrade or new curb ramp
21127,Do Not Include
21127,Class III Bike Routes 
21127,Do Not Include
21149,Repair Existing Sidewalk 
21149,Repair/upgrade or new curb ramp
21149,Modify Driveway 
21149,Upgrade/New Detectable Warning Surface 
21149,Do Not Include
21149,Do Not Include
21417,Replace or Rehabilitate Culvert
21417,Replace or Rehabilitate Culvert
21417,Guard Rail 
21417,Rehabilitate or Install New Lighting
21417,Ramp Meter 
21417,Daily Vehicle Hours of Delay (DVHD) Reduced 
21417,Worker Safety - Safe Access
21417,Worker Safety - Vegetation Control
21417,Do Not Include
21417,Do Not Include
21417,Do Not Include
21442,Asphalt Pavement Minor Rehab 
21442,Replace or Rehabilitate Culvert
21442,Replace or Rehabilitate Culvert
21442,Crash Cushions 
21442,Guard Rail 
21442,Safety Treatment to Reduce Collisions
21442,Sign Panel Replacement
21442,Miscellaneous Safety Work
21442,Repair/upgrade or new curb ramp
21442,Do Not Include
21442,Worker Safety - Miscellaneous Paving/Treatment
21442,Total Maximum Daily Load Mitigation  
21442,Trash Reduction  
21456,Water & Wastewater Treatment  at Safety Roadside Rest Area 
21456,Safety Roadside Rest Area 
21456,Install LED Lighting  
21456,Do Not Include
21456,Do Not Include
21458,Asphalt Pavement Minor Rehab 
21458,Sign Panel Replacement
21458,Repair/upgrade or new curb ramp
21458,Upgrade/New Detectable Warning Surface 
21458,Do Not Include
21458,Do Not Include
21458,Do Not Include
21492,Safety Improvements
21492,Do Not Include
21492,Do Not Include
21492,Do Not Include
21492,Do Not Include
21511,Asphalt Pavement Minor Rehab 
21619,Asphalt Pavement Minor Rehab 
21619,Guard Rail 
21619,Sign Panel Replacement
21619,Census Station 
21619,Repair/upgrade or new curb ramp
21619,Traffic Signals 
21619,Do Not Include
21619,Do Not Include
21619,Do Not Include
21620,Asphalt Pavement Minor Rehab 
21620,Guard Rail 
21620,Repair/upgrade or new curb ramp
21620,Do Not Include
21620,Enhanced Crosswalk Visibility 
21620,Do Not Include
21620,Total Maximum Daily Load Mitigation  
21620,Trash Reduction  
21621,Bridge Rail 
21621,Do Not Include
21621,Do Not Include
21621,Asphalt Pavement Minor Rehab 
21621,Concrete Pavement Minor Rehab 
21621,Crash Cushions 
21621,Overhead Sign Structures Rehabilitation 
21621,Sign Panel Replacement
21621,Repair/upgrade or new curb ramp
21621,Do Not Include
21621,Trash Reduction  
21621,Asphalt Pavement Minor Rehab 
21622,Asphalt Pavement Minor Rehab 
21622,Crash Cushions 
21622,Guard Rail 
21622,Safety Treatment to Reduce Collisions
21622,Miscellaneous Safety Work
21622,Do Not Include
21622,Do Not Include
21623,Asphalt Pavement Minor Rehab 
21623,Replace or Rehabilitate Culvert
21623,Replace or Rehabilitate Culvert
21623,Replace or Rehabilitate Culvert
21623,Replace or Rehabilitate Culvert
21623,Crash Cushions 
21623,Rehabilitate or Install New Lighting
21623,Class II Bike Lane 
21623,Conflict Zone Green Paint 
21623,Enhanced Crosswalk Visibility 
21623,Do Not Include
21623,Bicycle and Pedestrian Signage 
21635,Asphalt Pavement Minor Rehab 
21635,Sign Panel Replacement
21635,New Sidewalk 
21635,Repair/Upgrade or New Curb Ramp
21635,Repair/upgrade or new curb ramp
21635,Install Accessible Pedestrian Signal 
21635,Traffic Signals 
21635,Do Not Include
21635,Enhanced Crosswalk Visibility 
21635,Do Not Include
21635,Bicycle and Pedestrian Signage 
21635,Do Not Include
21635,Do Not Include
21635,Asphalt Pavement Minor Rehab 
21635,Asphalt Pavement Minor Rehab 
21636,Asphalt Pavement Minor Rehab 
21636,Sign Panel Replacement
21636,New Sidewalk 
21636,Repair Existing Sidewalk 
21636,Repair/Upgrade or New Curb Ramp
21636,Repair/upgrade or new curb ramp
21636,Install Accessible Pedestrian Signal 
21636,Modify Driveway 
21636,Upgrade/New Detectable Warning Surface 
21636,Traffic Signals 
21636,Do Not Include
21636,Enhanced Crosswalk Visibility 
21636,Pedestrian Access/Sidewalks
21636,Do Not Include
21636,Bicycle and Pedestrian Signage 
21636,Do Not Include
21636,Do Not Include
21638,Asphalt Pavement Minor Rehab 
21638,Widen Shoulders 
21638,Safety Improvements
21638,Safety Improvements
21638,Class III Bike Routes 
21638,Do Not Include
21638,Bicycle - Tolerable Rumble Strips 
21638,Do Not Include
21642,Safety Improvements
21642,Class II Bike Lane 
21642,Class III Bike Routes 
21642,Do Not Include
21642,Do Not Include
21642,Shared-Lane Markings 
21642,Bicycle Detection Loops 
21642,Bicycle - Tolerable Drainage Grates 
21642,Bicycle and Pedestrian Signage 
21642,Do Not Include
21645,Median Barrier 
21645,Safety Improvements
21645,Safety Improvements
21645,Do Not Include
21645,Do Not Include
21645,Do Not Include
21663,Census Station 
21663,Do Not Include
21663,Do Not Include
21663,Do Not Include
21663,Census Station 
21663,Census Station 
21663,Census Station 
21663,Guard Rail 
21663,Miscellaneous Safety Work
21663,Census Station 
21663,Worker Safety - Vegetation Control
21663,Census Station 
21663,Census Station 
21663,Census Station 
21663,Guard Rail 
21663,Miscellaneous Safety Work
21663,Census Station 
21663,Worker Safety - Vegetation Control
21663,Census Station 
21663,Guard Rail 
21663,Miscellaneous Safety Work
21663,Census Station 
21663,Worker Safety - Vegetation Control
21663,Census Station 
21663,Census Station 
21663,Guard Rail 
21663,Miscellaneous Safety Work
21663,Census Station 
21663,Worker Safety - Vegetation Control
21663,Census Station 
21663,Census Station 
21663,Guard Rail 
21663,Miscellaneous Safety Work
21663,Census Station 
21663,Worker Safety - Vegetation Control
21666,Asphalt Pavement Minor Rehab 
21666,Sign Panel Replacement
21666,Do Not Include
21666,Do Not Include
21667,Asphalt Pavement Minor Rehab 
21667,Replace or Rehabilitate Culvert
21667,Replace or Rehabilitate Culvert
21667,Safety Treatment to Reduce Collisions
21667,Overhead Sign Structures Rehabilitation 
21667,Sign Panel Replacement
21667,Miscellaneous Safety Work
21667,Do Not Include
21667,Do Not Include
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21670,Sign Panel Replacement
21763,Asphalt Pavement Minor Rehab 
21763,Crash Cushions 
21763,Safety Treatment to Reduce Collisions
21763,Miscellaneous Safety Work
21785,Median Barrier 
21785,Rumble Strips 
21785,Safety Improvements
21785,Do Not Include
21785,Do Not Include
21802,Asphalt Pavement Minor Rehab 
21802,Replace or Rehabilitate Culvert
21802,Replace or Rehabilitate Culvert
21802,Guard Rail 
21802,Safety Treatment to Reduce Collisions
21802,Sign Panel Replacement
21802,Miscellaneous Safety Work
21802,Worker Safety - Miscellaneous Paving/Treatment
21802,Do Not Include
21802,Miscellaneous Complete Streets Work
21810,Asphalt Pavement Minor Rehab 
21810,Replace or Rehabilitate Culvert
21810,Replace or Rehabilitate Culvert
21810,Guard Rail 
21810,Safety Treatment to Reduce Collisions
21810,Sign Panel Replacement
21810,Miscellaneous Safety Work
21810,Worker Safety - Miscellaneous Paving/Treatment
21810,Do Not Include
21810,Bicycle - Tolerable Rumble Strips 
21810,Miscellaneous Complete Streets Work
21855,Rumble Strips 
21855,Safety Improvements
21855,Do Not Include
21855,Do Not Include
21859,Planting 
21859,Do Not Include
21859,Do Not Include
21859,Do Not Include
21861,Emergency Opening 
21905,Sign Panel Replacement
21905,Safety Improvements
21905,Do Not Include
21905,Do Not Include
21905,Do Not Include
21905,Sign Panel Replacement
21905,Safety Improvements
21926,Bridge Preservation 
21926,Bridge Approach Slabs 
21926,Do Not Include
21926,Do Not Include
21926,Do Not Include
21926,Do Not Include
21926,Bridge Preservation 
21926,Bridge Approach Slabs 
21926,Do Not Include
21926,Do Not Include
21926,Bridge Preservation 
21926,Bridge Approach Slabs 
21926,Do Not Include
21926,Do Not Include
21927,Bridge Rehabilitation 
21927,Bridge Rehabilitation 
21927,Do Not Include
21927,Do Not Include
21927,Guard Rail 
21927,Do Not Include
21927,Do Not Include
21928,Emergency Opening 
21939,Bridge Rehabilitation 
21939,Bridge Rehabilitation 
21939,Do Not Include
21939,Do Not Include
21939,Do Not Include
21939,Do Not Include
21939,Bridge Rehabilitation 
21939,Bridge Rehabilitation 
21939,Do Not Include
21939,Do Not Include
21939,Bridge Rehabilitation 
21939,Bridge Rehabilitation 
21939,Do Not Include
21939,Do Not Include
21939,Bridge Rehabilitation 
21939,Bridge Rehabilitation 
21939,Do Not Include
21939,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Do Not Include
21940,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Do Not Include
21940,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Bridge Approach Slabs 
21940,Do Not Include
21940,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Bridge Approach Slabs 
21940,Do Not Include
21940,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Do Not Include
21940,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Do Not Include
21940,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Do Not Include
21940,Do Not Include
21940,Bridge Rehabilitation 
21940,Bridge Rehabilitation 
21940,Do Not Include
21940,Do Not Include
21952,Concrete Pavement Major Rehab
21952,Replace or Rehabilitate Culvert
21952,Replace or Rehabilitate Culvert
21952,Sign Panel Replacement
21952,Weigh-in-Motion System 
21952,Repair/upgrade or new curb ramp
21952,Upgrade/New Detectable Warning Surface 
21952,Do Not Include
21952,Class III Bike Routes 
21952,Conflict Zone Green Paint 
21952,Do Not Include
21952,Pedestrian Access/Sidewalks
21952,Rectangular Rapid Flashing Beacon 
21955,Asphalt Pavement Minor Rehab 
21955,Replace or Rehabilitate Culvert
21955,Replace or Rehabilitate Culvert
21955,Replace or Rehabilitate Culvert
21955,Replace or Rehabilitate Culvert
21955,Guard Rail 
21955,Sign Panel Replacement
21955,Class III Bike Routes 
21956,Asphalt Pavement Minor Rehab 
21956,Sign Panel Replacement
21956,Repair/upgrade or new curb ramp
21956,Upgrade/New detectable warning surface 
21956,Do Not Include
21956,Miscellaneous Complete Streets Work
21960,Fiber Optics (Communications)
21960,Daily Vehicle Hours of Delay (DVHD) Reduced 
21960,Traffic Signals 
21960,Traffic Signals 
22070,Overhead Sign Structures Rehabilitation 
22070,Overhead Sign Structures Rehabilitation 
22070,Overhead Sign Structures Rehabilitation 
22070,Overhead Sign Structures Rehabilitation 
22070,Overhead Sign Structures Rehabilitation 
22070,Overhead Sign Structures Rehabilitation 
22070,Overhead Sign Structures Rehabilitation 
22132,Safety Treatment to Reduce Collisions
22132,Miscellaneous Safety Work
22132,Safety Treatment to Reduce Collisions
22132,Miscellaneous Safety Work
22132,Safety Treatment to Reduce Collisions
22132,Miscellaneous Safety Work
22133,Crash Cushions 
22133,Safety Treatment to Reduce Collisions
22142,Safety Improvements
22142,Do Not Include
22142,Do Not Include
22150,Replace or Rehabilitate Culvert
22150,Replace or Rehabilitate Culvert
22150,Replace or Rehabilitate Culvert
22150,Replace or Rehabilitate Culvert
22150,Do Not Include
22150,Do Not Include
22154,Replace or Rehabilitate Culvert
22154,Replace or Rehabilitate Culvert
22154,Replace or Rehabilitate Culvert
22154,Replace or Rehabilitate Culvert
22155,Replace or Rehabilitate Culvert
22155,Replace or Rehabilitate Culvert
22155,Replace or Rehabilitate Culvert
22155,Replace or Rehabilitate Culvert
22156,Replace or Rehabilitate Culvert
22156,Replace or Rehabilitate Culvert
22156,Replace or Rehabilitate Culvert
22156,Replace or Rehabilitate Culvert
22157,Replace or Rehabilitate Culvert
22157,Replace or Rehabilitate Culvert
22161,Asphalt Pavement Minor Rehab 
22161,Guard Rail 
22161,Sign Panel Replacement
22161,Class III Bike Routes 
22161,Do Not Include
22161,Do Not Include
22185,Safety Treatment to Reduce Collisions
22185,Miscellaneous Safety Work
22185,Safety Treatment to Reduce Collisions
22185,Miscellaneous Safety Work
22185,Safety Treatment to Reduce Collisions
22185,Miscellaneous Safety Work
22185,Safety Treatment to Reduce Collisions
22185,Miscellaneous Safety Work
22217,Replace or Rehabilitate Culvert
22217,Replace or Rehabilitate Culvert
22217,Guard Rail 
22217,Emergency Opening 
22224,Emergency Opening 
22226,Emergency Opening 
22237,Safety Improvements
22257,Emergency Opening 
22259,Asphalt Pavement Minor Rehab 
22259,Replace or Rehabilitate Culvert
22259,Replace or Rehabilitate Culvert
22259,Replace or Rehabilitate Culvert
22259,Replace or Rehabilitate Culvert
22259,Sign Panel Replacement
22291,Bridge Rail 
22291,Bridge Rehabilitation 
22291,Bridge Rehabilitation 
22291,Do Not Include
22291,Do Not Include
22291,Do Not Include
22291,Do Not Include
22298,Safety Improvements
22298,Do Not Include
22298,Do Not Include
22358,Do Not Include
22358,Do Not Include
22358,Miscellaneous Bridge Work
22358,Overhead Sign Structures Rehabilitation 
22358,Emergency Opening 
22365,Emergency Opening 
22365,Emergency Opening 
22369,Replace or Rehabilitate Culvert
22369,Replace or Rehabilitate Culvert
22369,Replace or Rehabilitate Culvert
22369,Replace or Rehabilitate Culvert
22479,Asphalt Pavement Minor Rehab 
22479,Rumble Strips 
22479,Asphalt Pavement Minor Rehab 
22479,Rumble Strips 
13540,Replace or Rehabilitate Culvert
13540,Replace or Rehabilitate Culvert
13540,Guard Rail 
13540,Rumble Strips 
13540,Widen Shoulders 
13540,Safety Treatment to Reduce Collisions
13540,Class II Bike Lane 
13580,Replace or Rehabilitate Culvert
13580,Replace or Rehabilitate Culvert
13580,Miscellaneous Drainage Work
16268,Bridge Widening 
16268,New Sidewalk 
16268,Repair Existing Sidewalk 
16268,Repair/Upgrade or New Curb Ramp
16268,Repair/upgrade or new curb ramp
16268,Modify Driveway 
16268,Do Not Include
